actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.16791832447052002
0.15276455879211426,0.20000000298023224
0.15529286861419678,0.20000000298023224
0.15776026248931885,0.20000000298023224
0.1601690798997879,0.20000000298023224
0.15519747138023376,0.20000000298023224
0.1531791090965271,0.20000000298023224
0.1467219442129135,0.20000000298023224
0.13588865101337433,0.19674745202064514
0.12945690751075745,0.19344563782215118
0.11864502727985382,0.18742451071739197
0.10351292043924332,0.18048959970474243
0.0841178223490715,0.1725999265909195
0.06923216581344604,0.16744619607925415
0.05006934329867363,0.15949268639087677
0.026684356853365898,0.15055407583713531
0.003488851711153984,0.14246106147766113
0.0,0.1361597329378128
0.0,0.1251787692308426
0.0,0.11408646404743195
0.0,0.10379337519407272
0.0,0.09525085985660553
0.0,0.08571917563676834
0.0,0.07613066583871841
0.0,0.06649091839790344
0.0,0.058668460696935654
0.0,0.04805228114128113
0.0,0.038319699466228485
0.0,0.0322757363319397
0.0,0.022556833922863007
0.0,0.013760938309133053
0.0,0.006825171876698732
0.0,0.0
